image_id,mine_row,comparison_row,iou,mine_class,comparison_class,class_agree
drive_022,1,2,0.91402,bus,van,False
drive_022,2,3,0.822547,car,car,True
drive_022,3,1,0.954046,car,car,True
drive_022,4,4,0.812472,car,car,True
drive_022,5,5,0.888234,truck,bus,False
drive_033,1,3,0.852865,car,car,True
drive_033,3,9,0.876537,car,car,True
drive_033,4,4,0.786841,car,car,True
drive_033,11,5,0.90849,car,car,True
drive_033,12,7,0.906337,car,car,True
drive_033,13,6,0.841082,car,car,True
drive_033,14,8,0.879214,car,car,True
drive_033,15,10,0.812186,car,car,True
drive_033,18,11,0.890525,car,car,True
drive_033,19,2,0.859055,truck,bus,False
drive_033,20,1,0.986849,bus,van,False
drive_033,21,12,0.925268,bus,van,False
drive_038,6,6,0.844455,car,car,True
drive_038,7,12,0.815951,car,car,True
drive_038,8,7,0.904789,car,car,True
drive_038,9,11,0.904337,car,car,True
drive_038,10,8,0.888904,car,car,True
drive_038,11,10,0.857303,car,car,True
drive_038,12,13,0.869619,car,car,True
drive_038,13,14,0.818564,car,car,True
drive_038,14,9,0.924896,truck,bus,False
drive_038,15,15,0.89209,bus,truck,False
drive_038,16,17,0.92467,car,car,True
drive_038,17,16,0.886217,car,car,True
drive_038,28,2,0.931286,car,car,True
drive_038,29,3,0.955297,car,car,True
drive_038,30,5,0.90984,truck,bus,False
drive_008,1,6,0.897148,car,car,True
drive_008,3,11,0.942153,car,car,True
drive_008,8,15,0.173406,car,car,True
drive_008,9,14,0.831641,car,car,True
drive_008,10,13,0.731639,car,car,True
drive_008,11,7,0.794339,car,car,True
drive_008,12,12,0.905527,van,truck,False
drive_008,13,3,0.897471,van,truck,False
drive_008,14,5,0.796679,van,truck,False
drive_008,15,1,0.848843,truck,bus,False
drive_008,16,9,0.982828,bus,van,False
drive_008,19,16,0.949888,car,car,True
drive_008,20,4,0.90028,car,car,True
drive_008,21,2,0.895197,car,car,True
